X,Y,OBJECTID,STNCODE,STNNAME,CITY2,STATE,STFIPS,urban
-75.9221229999615,39.9591799999724,152,PAR,"Parkesburg, Pennsylvania",Parkesburg,PA,42,YES
-90.1909360001013,32.3008079999497,153,JAN,"Jackson, Mississippi",Jackson,MS,28,YES
-88.1454970003591,41.7795139998345,154,NPV,"Naperville, Illinois",Naperville,IL,17,YES
-119.034113999924,34.2159330000471,155,CML,"Camarillo, California (Trains)",Camarillo,CA,06,YES
-107.3232180004,39.5479030000084,156,GSC,"Glenwood Springs, Colorado",Glenwood Springs,CO,08,
-79.7570560000844,34.1991569997407,157,FLO,"Florence, South Carolina",Florence,SC,45,YES
-118.25886799956,34.1237059998591,158,GDL,"Glendale, California",Glendale,CA,06,YES
-73.8823940002874,41.1899030001684,159,CRT,"Croton Harmon, New York",Croton-Harmon,NY,36,YES
-71.0863749996434,42.7732970000705,160,HHL,"Haverhill, Massachusetts",Haverhill,MA,25,YES
-97.5127489997099,35.4654900003272,161,OKC,"Oklahoma City, Oklahoma",Oklahoma City,OK,40,YES
-76.2761949995649,36.8435089998308,162,NFK,"Norfolk, Virginia",Norfolk,VA,51,YES
-70.4491389999591,43.4961909998119,163,SAO,"Saco, Maine",Saco,ME,23,YES
-118.695163000138,34.2702039999938,164,SIM,"Simi Valley, California",Simi Valley,CA,06,YES
-121.936576000042,37.3532190003496,165,SCC,University Station,Santa Clara University,CA,06,YES
-71.8297800000641,41.3810810000355,166,WLY,"Westerly, Rhode Island",Westerly,RI,44,YES
-77.4295119998952,37.5342089998799,167,RVM,"Richmond (Main St), Virginia",Richmond,VA,51,YES
-74.6239760000946,40.3158499999374,168,PJC,"Princeton Junction, New Jersey",Princeton Junction,NJ,34,YES
-86.8066140002852,33.512800999774,169,BHM,"Birmingham, Alabama",Birmingham,AL,01,YES
-80.1700000000293,26.1192559996403,170,FTL,"Fort Lauderdale, Florida",Fort Lauderdale,FL,12,YES
-96.8072349999571,32.7760939998943,171,DAL,"Dallas, Texas",Dallas,TX,48,YES
-122.197858000101,47.975400999863,172,EVR,"Everett, Washington",Everett,WA,53,YES
-91.3685249997082,39.9570629999095,173,QCY,"Quincy, Illinois",Quincy,IL,17,
-111.908349000036,40.7616609999962,174,SLC,"Salt Lake City, Utah",Salt Lake City,UT,49,YES
-122.007496000158,37.5590930002453,175,FMT,"Fremont (Trains, Capitol Buses), California",Fremont,CA,06,YES
-119.332309000309,35.594091999833,176,WAC,"Wasco, California",Wasco,CA,06,
-111.648871000324,35.1973740001013,177,FLG,"Flagstaff, Arizona",Flagstaff,AZ,04,YES
-92.1699060001447,38.5788700003365,178,JEF,"Jefferson City, Missouri",Jefferson City,MO,29,YES
-121.81602399963,38.0177000001836,179,ACA,"Antioch-Pittsburg, California",Antioch-Pittsburg,CA,06,YES
-121.286285999754,38.7500160002162,180,RSV,"Roseville, California",Roseville,CA,06,YES
-85.1878250001213,42.3184530000466,181,BTL,"Battle Creek, Michigan",Battle Creek,MI,26,YES
-85.6724470004158,42.9557880001222,182,GRR,"Grand Rapids, Michigan",Grand Rapids,MI,26,YES
-121.278999999843,37.9570379998852,183,SKT,"Stockton (ACE, 701-704), California",Stockton  - ACE Station,CA,06,YES
-78.8737479998475,42.8784489998228,184,BFX,"Buffalo (Exchange St), New York",Buffalo- Exchange St.,NY,36,YES
-81.4042340000316,28.2938349998717,185,KIS,"Kissimmee, Florida",Kissimmee,FL,12,YES
-76.1632600003979,39.5084469997505,186,ABE,"Aberdeen, Maryland",Aberdeen,MD,24,YES
-88.3760449997895,39.482729999716,187,MAT,"Mattoon, Illinois",Mattoon,IL,17,
-87.6686849998572,41.5624460003309,188,HMW,"Homewood, Illinois",Homewood,IL,17,YES
-73.8100270001997,43.0828100001518,189,SAR,"Saratoga Springs, New York",Saratoga Springs,NY,36,
-89.4668150000359,41.385191000192,190,PCT,"Princeton, Illinois",Princeton,IL,17,
-86.0965529998555,42.791095999878,191,HOM,"Holland, Michigan",Holland,MI,26,YES
-123.102773999825,44.6304639998386,192,ALY,"Albany, Oregon",Albany,OR,41,YES
-121.771951999614,42.2255089996863,193,KFS,"Klamath Falls, Oregon",Klamath Falls,OR,41,
-80.0060970000247,35.9571279997779,194,HPT,"High Point, North Carolina",High Point,NC,37,YES
-81.0404899996642,33.9942970001863,195,CLB,"Columbia, South Carolina",Columbia,SC,45,YES
-108.569928999624,39.0643749997222,196,GJT,"Grand Junction, Colorado",Grand Junction,CO,08,YES
-122.91301600013,46.1422640002603,197,KEL,"Kelso-Longview, Washington",Kelso-Longview,WA,53,YES
-119.522975000025,34.3967799998668,198,CPN,"Carpinteria, California",Carpinteria,CA,06,YES
-97.7569399999228,30.2694490003796,199,AUS,"Austin, Texas",Austin,TX,48,YES
-86.1604230000624,39.7619840002784,200,IND,"Indianapolis, Indiana",Indianapolis,IN,18,YES
-122.38414100007,47.81108100002,201,EDM,"Edmonds, Washington",Edmonds,WA,53,YES
-119.557049999587,36.0985160001363,202,COC,"Corcoran, California",Corcoran,CA,06,
-77.4287939998448,37.2416269996811,203,PTB,"Petersburg, Virginia",Petersburg,VA,51,YES
-122.240253999817,47.4610810001406,204,TUK,"Tukwila, Washington",Tukwila,WA,53,YES
-95.9286500001243,41.2498280002793,205,OMA,"Omaha, Nebraska",Omaha,NE,31,YES
-101.2985569997,48.2360830001704,206,MOT,"Minot, North Dakota",Minot,ND,38,
-83.6517279996638,43.0154249998738,207,FLN,"Flint, Michigan",Flint,MI,26,YES
-120.798008999809,37.5272290003195,208,TRK,"Turlock-Denair, California",Turlock-Denair,CA,06,YES
-79.0318649996161,43.1135479997172,209,NFL,"Niagara Falls, New York, United States",Niagara Falls,NY,36,YES
-94.7283219996294,32.4940319996575,210,LVW,"Longview, Texas",Longview,TX,48,YES
